ColumnHeader,Units,Summary,Measurement,Plot,Treatment,Block,Nitrogen,Irrigation
TIMESTAMP,TS,Ref,Time,Expt,Expt,Expt,Expt,Expt
RECORD,RN,Ref,Record,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Volts,Avg,BatteryVoltage,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Deg C,Avg,PannelTemperature,Expt,Expt,Expt,Expt,Expt
AirTC_Avg,Deg C,Avg,AirTemperature,Expt,Expt,Expt,Expt,Expt
RH_Max,%,Max,RelativeHumidity,Expt,Expt,Expt,Expt,Expt
SlrkW_Avg,kW/m^2,Avg,IncomingRadnKW,Expt,Expt,Expt,Expt,Expt
SlrMJ_Tot,MJ/m^2,Tot,IncomingRadnMJ,Expt,Expt,Expt,Expt,Expt
Rain_mm_Tot,mm,Tot,Rainfall,Expt,Expt,Expt,Expt,Expt
WS_ms_Avg,meters/second,Avg,Windspeed,Expt,Expt,Expt,Expt,Expt
LeafWet_kohms_Avg,kilohms,Avg,Leafwetness,Expt,Expt,Expt,Expt,Expt
AlbedoUp_Avg,W/m^2,Avg,GlobalRadn,414,4,3,0,Irrigated
AlbedoDown_Avg,W/m^2,Avg,ReflectedRadn,414,4,3,0,Irrigated
NetRadn_Avg,W/m^2,Avg,NetRadn,401,1,1,0,Dry
SBT_C_Avg(1),Deg C,Avg,IR_SensorBodyTemp,401,1,1,0,Dry
SBT_C_Avg(2),Deg C,Avg,IR_SensorBodyTemp,402,6,1,300,Irrigated
SBT_C_Avg(3),Deg C,Avg,IR_SensorBodyTemp,403,4,1,0,Irrigated
SBT_C_Avg(4),Deg C,Avg,IR_SensorBodyTemp,404,3,1,300,Dry
SBT_C_Avg(5),Deg C,Avg,IR_SensorBodyTemp,405,5,1,50,Irrigated
SBT_C_Avg(6),Deg C,Avg,IR_SensorBodyTemp,406,2,1,50,Dry
SBT_C_Avg(7),Deg C,Avg,IR_SensorBodyTemp,407,6,2,300,Irrigated
SBT_C_Avg(8),Deg C,Avg,IR_SensorBodyTemp,408,3,2,300,Dry
SBT_C_Avg(9),Deg C,Avg,IR_SensorBodyTemp,409,5,2,50,Irrigated
SBT_C_Avg(10),Deg C,Avg,IR_SensorBodyTemp,410,1,2,0,Dry
SBT_C_Avg(11),Deg C,Avg,IR_SensorBodyTemp,411,2,2,50,Dry
SBT_C_Avg(12),Deg C,Avg,IR_SensorBodyTemp,412,4,2,0,Irrigated
SBT_C_Avg(13),Deg C,Avg,IR_SensorBodyTemp,413,3,3,300,Dry
SBT_C_Avg(14),Deg C,Avg,IR_SensorBodyTemp,414,4,3,0,Irrigated
SBT_C_Avg(15),Deg C,Avg,IR_SensorBodyTemp,415,6,3,300,Irrigated
SBT_C_Avg(16),Deg C,Avg,IR_SensorBodyTemp,416,2,3,50,Dry
SBT_C_Avg(17),Deg C,Avg,IR_SensorBodyTemp,417,1,3,0,Dry
SBT_C_Avg(18),Deg C,Avg,IR_SensorBodyTemp,418,5,3,50,Irrigated
SBT_C_Avg(19),Deg C,Avg,IR_SensorBodyTemp,419,3,4,300,Dry
SBT_C_Avg(20),Deg C,Avg,IR_SensorBodyTemp,420,4,4,0,Irrigated
SBT_C_Avg(21),Deg C,Avg,IR_SensorBodyTemp,421,2,4,50,Dry
SBT_C_Avg(22),Deg C,Avg,IR_SensorBodyTemp,422,5,4,50,Irrigated
SBT_C_Avg(23),Deg C,Avg,IR_SensorBodyTemp,423,1,4,0,Dry
SBT_C_Avg(24),Deg C,Avg,IR_SensorBodyTemp,424,6,4,300,Irrigated
TT_C_Avg(1),Deg C,Avg,IR_SurfaceTemp,401,1,1,0,Dry
TT_C_Avg(2),Deg C,Avg,IR_SurfaceTemp,402,6,1,300,Irrigated
